@relation Dataset_persona_comas_res

@attribute Zona {Urbana,Rural}
@attribute Sexo {Hombre,Mujer}
@attribute Edad numeric
@attribute 'Estado Civil' numeric
@attribute Pueblo numeric
@attribute 'Nivel edu' numeric
@attribute Matricula {no,si}
@attribute 'Prox Nivel ed' numeric

@data
Urbana,Hombre,8,1,2,41,si,41
Urbana,Hombre,3,1,2,0,no,0
Urbana,Hombre,54,2,1,74,no,0
Urbana,Mujer,46,2,2,77,no,0
Urbana,Hombre,9,1,2,41,si,41
Urbana,Mujer,8,1,2,41,si,41
Urbana,Mujer,26,2,2,32,no,0
Urbana,Mujer,4,1,2,11,no,0
Urbana,Mujer,2,1,2,0,no,0
Urbana,Hombre,40,2,2,23,no,0
Urbana,Mujer,35,2,2,31,no,0
Urbana,Hombre,11,1,2,41,si,41
Urbana,Hombre,10,1,2,41,si,41
Urbana,Hombre,7,1,2,41,si,41
Urbana,Hombre,85,2,1,21,no,0
Urbana,Mujer,75,2,1,21,no,0
Urbana,Mujer,31,2,1,32,no,0
Urbana,Hombre,46,2,2,22,no,0
Urbana,Hombre,2,1,2,0,no,0
Urbana,Hombre,52,4,1,32,no,0
Urbana,Mujer,28,2,2,32,no,0
Urbana,Hombre,25,1,2,42,no,0
Urbana,Mujer,18,1,2,42,si,42
Urbana,Hombre,36,2,2,77,no,0
Urbana,Mujer,35,2,2,72,si,72
Urbana,Hombre,9,1,2,41,si,41
Urbana,Hombre,7,1,2,41,si,41
Urbana,Hombre,68,2,1,21,no,0
Urbana,Mujer,63,2,1,21,no,0
Urbana,Hombre,75,2,1,23,no,0
Urbana,Mujer,62,2,1,22,no,0
Urbana,Hombre,25,3,2,77,no,0
Urbana,Mujer,25,3,2,77,no,0
Urbana,Hombre,7,1,2,41,si,41
Urbana,Mujer,55,6,2,21,no,0
Urbana,Mujer,36,4,2,32,no,0
Urbana,Hombre,16,1,2,42,si,42
Urbana,Mujer,14,1,2,11,no,0
Urbana,Mujer,5,1,2,11,si,13
Urbana,Hombre,25,2,2,42,no,0
Urbana,Mujer,22,2,2,42,no,0
Urbana,Mujer,5,1,2,13,si,13
Urbana,Mujer,4,1,2,11,si,13
Urbana,Hombre,35,2,2,72,no,0
Urbana,Mujer,33,2,2,32,no,0
